|      Date Time      | 가동률 | 모델정보 | 생산수량 | 불량수량 | 알람코드 | 작업 진행 상황 | 박스 진행 상황 | 레이어 진행상황 | 박스 정보 | 팔레트 정보 | 간지 사용 유무 | 리프트 높이 | 적재방향 | 로봇 스피드 | BOX SORT CYLINDER | SAFETY LADAR SENSOR | LABEL ALINE | 로봇 상태 | 로봇 서보 온 |
| 2023-07-13 10:11:47 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | INITIALIZING | 0 |
| 2023-07-13 10:21:33 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-13 10:22:02 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-13 10:23:17 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-13 10:26:08 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-13 10:28:29 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | INITIALIZING | 0 |
| 2023-07-13 10:31:30 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | SAFE OFF | 0 |
| 2023-07-13 10:31:53 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-13 10:31:56 | 0 | 0 | 0 | 0 | 25 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-13 10:31:58 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-13 10:32:13 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
